Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
JOB,GEE Group Inc. Common Stock,$0.3628,0.0118,3.362%,39462328.00,United States,1968,93903,Consumer Discretionary,Diversified Commercial Services
JWSM,Jaws Mustang Acquisition Corp. Class A Ordinary Shares,$10.89,0.00,0.00%,0.00,,2021,1,Finance,Blank Checks
KIQ,Kelso Technologies Inc Ordinary Shares,$0.111,-0.009,-7.50%,6029530.00,Canada,,391106,Industrials,Railroads
KNW,Know Labs Inc. Common Stock,$0.6702,-0.0908,-11.932%,54518440.00,,2022,157877,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.1413,-0.0017,-1.189%,18070104.00,United States,,387287,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.12,-0.01,-0.885%,195985072.00,United States,,338661,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$41.485,0.685,1.679%,650303676.00,United States,2014,157694,,
LGL,LGL Group Inc. (The) Common Stock,$5.88,-0.43,-6.815%,31475270.00,United States,1946,10095,Technology,Industrial Machinery/Components
LODE,Comstock Inc. Common Stock,$0.3702,-0.0098,-2.579%,42876927.00,United States,,442049,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$0.6368,-0.0432,-6.353%,45118053.00,United States,2022,61514,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$0.8201,0.0011,0.134%,7667480.00,,2020,18797,Consumer Staples,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$10.77,0.31,2.964%,289008944.00,United Kingdom,2012,86143,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$9.06,-0.03,-0.33%,932714434.00,Canada,,626282,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.4301,-0.0399,-2.714%,20326742.00,,2022,243409,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.0499,0.0299,2.931%,41348694.00,,2022,1206,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,$8.8499,0.0899,1.026%,102651211.00,United States,,1684,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$0.246,0.0033,1.36%,8608004.00,,2023,435813,Consumer Discretionary,Catalog/Specialty Distribution
MIMO,Airspan Networks Holdings Inc. Common Stock,$0.1375,0.0045,3.383%,10262848.00,United States,2020,264467,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$0.65,0.0219,3.487%,6811491.00,United States,2021,15161,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$0.76,0.00,0.00%,53996663.00,United States,2015,12941,Health Care,Industrial Specialties
MPTI,M-tron Industries Inc. Common Stock,$39.74,-0.30,-0.749%,110789556.00,,2022,34415,,
MPU,Mega Matrix Corp. Common Stock,$2.7392,0.0592,2.209%,86900109.00,United States,1998,58832,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$0.812,-0.0002,-0.025%,14590625.00,,2021,23793,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.5173,0.0013,0.252%,10885364.00,United States,1994,1913,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$2.7518,0.0118,0.431%,250356150.00,,,326640,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.257,-0.0029,-1.116%,55836983.00,United States,2017,251686,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.3508,0.0206,6.239%,8699840.00,,2023,31857,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$9.97,0.10,1.013%,20915445.00,United States,2003,850,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$5.05,0.15,3.061%,14241384.00,,2017,1494,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$3.41,-0.27,-7.337%,90420252.00,United States,2017,264287,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.2871,0.0083,2.977%,152140896.00,Canada,,945243,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.33,0.00,0.00%,0.00,United States,2002,78203,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.1415,-0.0035,-2.414%,923896.00,United States,2007,918525,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.7515,0.0314,4.361%,16067070.00,,2023,57769,,
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$71.00,2.73,3.999%,8294291.00,United States,,186,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$1.09,0.04,3.81%,186616050.00,,2021,144547,,
NFGC,New Found Gold Corp Common Shares,$3.515,0.075,2.18%,656858637.00,,2021,408245,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$2.655,0.175,7.056%,887755597.00,Canada,2003,2027659,Basic Materials,Precious Metals
NGD,New Gold Inc.,$1.525,0.055,3.741%,1045540000.00,Canada,,3939146,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$94.53,-0.54,-0.568%,1451034460.00,United States,1986,29132,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$8.09,0.01,0.124%,0.00,United States,,49575,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$7.07,-0.06,-0.842%,0.00,,2013,182701,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.1305,-0.0295,-2.543%,13316160.00,United States,,10962,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.2998,0.0248,0.757%,0.00,United States,2003,126638,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$3.40,-0.17,-4.762%,17984348.00,,2023,12916,,
NTIP,Network-1 Technologies Inc. Common Stock,$2.14,0.00,0.00%,50569540.00,United States,,53401,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$7.135,0.055,0.777%,551560744.00,Canada,2022,239869,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$1.4923,0.0323,2.212%,3834293.00,United States,,79769,Health Care,Biotechnology: Pharmaceutical Preparations
